tourney_id,tourney_name,tourney_date,surface,winner,country_winner,loser,country_loser,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,aces
2018-M001,Sydney,20180108,Hard,"Dzumhur, Damir",BIH,"Struff, Jan Lennard",GER,6-1 6-4,3,R32,60.0,7.0,3.0,51.0,29.0,26.0,11.0,9.0,2.0,3.0,7.0,3.0,54.0,32.0,22.0,5.0,8.0,6.0,10.0,30.0,1391.0,53.0,898.0,7.0
2018-0407,Rotterdam,20180212,Hard,"Troicki, Viktor",SRB,"Struff, Jan Lennard",GER,1-6 7-6(5) 6-2,3,R32,108.0,14.0,2.0,87.0,67.0,53.0,8.0,13.0,3.0,5.0,11.0,5.0,119.0,76.0,55.0,19.0,14.0,6.0,8.0,67.0,755.0,56.0,905.0,8.0
2018-0495,Dubai,20180226,Hard,"Sugita, Yuichi",JPN,"Struff, Jan Lennard",GER,7-6(4) 6-4,3,R16,91.0,4.0,3.0,66.0,40.0,33.0,12.0,11.0,2.0,4.0,12.0,3.0,77.0,35.0,27.0,20.0,11.0,3.0,6.0,42.0,1230.0,56.0,905.0,3.0
2018-0410,Monte Carlo Masters,20180416,Clay,"Zverev, Alexander",GER,"Struff, Jan Lennard",GER,6-4 4-6 6-4,3,R16,123.0,5.0,7.0,92.0,53.0,32.0,13.0,15.0,3.0,10.0,2.0,6.0,87.0,47.0,27.0,13.0,15.0,4.0,12.0,4.0,4925.0,61.0,855.0,2.0
2018-0308,Munich,20180430,Clay,"Zverev, Alexander",GER,"Struff, Jan Lennard",GER,6-3 6-2,3,QF,62.0,7.0,1.0,51.0,39.0,28.0,7.0,9.0,0.0,1.0,5.0,3.0,58.0,35.0,25.0,4.0,8.0,4.0,8.0,3.0,5195.0,62.0,855.0,7.0
2018-560,Us Open,20180827,Hard,"Goffin, David",BEL,"Struff, Jan Lennard",GER,6-4 6-1 7-6(4),5,R32,134.0,8.0,6.0,88.0,48.0,35.0,23.0,14.0,4.0,7.0,2.0,7.0,113.0,55.0,36.0,21.0,16.0,9.0,16.0,10.0,3435.0,58.0,905.0,4.0
2018-580,Australian Open,20180115,Hard,"Federer, Roger",SUI,"Struff, Jan Lennard",GER,6-4 6-4 7-6(4),5,R64,115.0,17.0,1.0,92.0,53.0,44.0,26.0,16.0,2.0,3.0,7.0,5.0,107.0,54.0,41.0,27.0,16.0,8.0,11.0,2.0,9605.0,55.0,870.0,9.0
2018-540,Wimbledon,20180702,Grass,"Federer, Roger",SUI,"Struff, Jan Lennard",GER,6-3 7-5 6-2,5,R32,94.0,10.0,2.0,74.0,40.0,37.0,23.0,15.0,0.0,0.0,11.0,6.0,100.0,56.0,37.0,21.0,14.0,10.0,14.0,2.0,8720.0,64.0,865.0,6.0
2018-0328,Basel,20181022,Hard,"Federer, Roger",SUI,"Struff, Jan Lennard",GER,6-3 7-5,3,R16,67.0,7.0,5.0,60.0,32.0,25.0,18.0,11.0,0.0,1.0,8.0,5.0,59.0,37.0,28.0,7.0,10.0,0.0,3.0,3.0,6260.0,52.0,935.0,6.0
2018-M007,Miami Masters,20180319,Hard,"Ymer, Mikael",SWE,"Struff, Jan Lennard",GER,3-6 7-5 6-1,3,R128,113.0,3.0,4.0,83.0,54.0,37.0,17.0,14.0,2.0,5.0,6.0,4.0,84.0,39.0,29.0,19.0,14.0,2.0,7.0,407.0,92.0,56.0,915.0,2.0
2018-0319,Kitzbuhel,20180730,Clay,"Daniel, Taro",JPN,"Struff, Jan Lennard",GER,7-6(3) 6-1,3,R32,78.0,4.0,3.0,56.0,29.0,25.0,20.0,10.0,0.0,0.0,7.0,6.0,62.0,21.0,20.0,19.0,9.0,2.0,4.0,81.0,713.0,56.0,920.0,3.0
2018-0360,Marrakech,20180409,Clay,"Vatutin, Alexey",RUS,"Struff, Jan Lennard",GER,3-6 6-3 6-2,3,R32,95.0,1.0,0.0,85.0,52.0,38.0,16.0,13.0,2.0,5.0,11.0,5.0,73.0,42.0,27.0,13.0,13.0,3.0,8.0,160.0,349.0,60.0,880.0,1.0
2018-7648,Budapest,20180423,Clay,"Cecchinato, Marco",ITA,"Struff, Jan Lennard",GER,5-7 6-4 6-2,3,QF,95.0,12.0,2.0,82.0,61.0,46.0,13.0,15.0,1.0,2.0,14.0,3.0,87.0,51.0,38.0,18.0,15.0,5.0,8.0,92.0,664.0,61.0,830.0,8.0
2018-0321,Stuttgart,20180611,Grass,"Molleker, Rudolf",GER,"Struff, Jan Lennard",GER,6-4 6-7(5) 6-3,3,R32,114.0,26.0,6.0,111.0,78.0,59.0,17.0,16.0,2.0,3.0,21.0,5.0,107.0,64.0,52.0,19.0,15.0,3.0,6.0,303.0,169.0,65.0,865.0,14.0
2018-7290,Estoril,20180430,Clay,"De Minaur, Alex",AUS,"Elias, Gastao",POR,6-3 6-1,3,R32,86.0,0.0,3.0,62.0,38.0,28.0,13.0,8.0,9.0,9.0,0.0,4.0,54.0,31.0,18.0,11.0,8.0,8.0,12.0,111.0,497.0,108.0,511.0,0.0
2018-6932,Rio De Janeiro,20180219,Clay,"Cuevas, Pablo",URU,"Elias, Gastao",POR,7-5 6-1,3,R16,96.0,1.0,3.0,54.0,35.0,26.0,10.0,10.0,1.0,3.0,1.0,6.0,56.0,25.0,16.0,11.0,9.0,5.0,10.0,33.0,1380.0,114.0,518.0,1.0
2018-0533,Sao Paulo,20180226,Clay,"Mayer, Leonardo",ARG,"Elias, Gastao",POR,5-7 7-6(10) 7-6(5),3,R32,179.0,6.0,4.0,128.0,81.0,57.0,28.0,18.0,6.0,9.0,5.0,2.0,115.0,76.0,60.0,18.0,18.0,0.0,2.0,49.0,999.0,102.0,558.0,2.0
2018-7480,Cabo San Lucas,20180730,Hard,"Nishioka, Yoshihito",JPN,"Elias, Gastao",POR,6-4 6-3,3,R32,84.0,0.0,0.0,67.0,48.0,32.0,11.0,10.0,6.0,8.0,2.0,7.0,57.0,24.0,18.0,11.0,9.0,1.0,5.0,247.0,227.0,127.0,458.0,0.0
2018-540,Wimbledon,20180702,Grass,"Garcia Lopez, Guillermo",ESP,"Elias, Gastao",POR,6-2 6-4 6-2,5,R128,121.0,0.0,5.0,94.0,57.0,45.0,16.0,13.0,9.0,10.0,5.0,4.0,84.0,42.0,23.0,21.0,13.0,6.0,12.0,65.0,863.0,118.0,460.0,0.0
2018-M-DC-2018-G1-EPA-M-POR-SWE-01,Davis Cup G1 R2: POR vs SWE,20180406,Hard,"Ymer, Mikael",SWE,"Elias, Gastao",POR,6-3 6-4,3,RR,96.0,5.0,4.0,74.0,53.0,36.0,8.0,10.0,5.0,7.0,1.0,7.0,61.0,29.0,22.0,11.0,9.0,4.0,8.0,355.0,125.0,106.0,551.0,3.0
2018-M-DC-2018-G1-EPA-M-POR-SWE-01,Davis Cup G1 R2: POR vs SWE,20180406,Hard,"Ymer, Elias",SWE,"Elias, Gastao",POR,7-6(11) 6-4,3,RR,103.0,4.0,0.0,79.0,48.0,39.0,17.0,11.0,2.0,3.0,4.0,2.0,79.0,50.0,38.0,13.0,11.0,1.0,3.0,133.0,418.0,106.0,551.0,2.0
2018-0506,Buenos Aires,20180212,Clay,"Delbonis, Federico",ARG,"Elias, Gastao",POR,7-6(5) 7-6(6),3,R16,139.0,1.0,4.0,81.0,51.0,41.0,15.0,12.0,4.0,5.0,1.0,2.0,101.0,61.0,43.0,21.0,12.0,3.0,4.0,70.0,755.0,114.0,502.0,0.0
2018-540,Wimbledon,20180702,Grass,"De Minaur, Alex",AUS,"Cecchinato, Marco",ITA,6-4 6-7(6) 7-6(5) 6-4,5,R128,178.0,8.0,6.0,126.0,67.0,51.0,38.0,24.0,5.0,8.0,8.0,4.0,161.0,100.0,66.0,31.0,22.0,12.0,17.0,80.0,723.0,29.0,1514.0,3.0
2018-0506,Buenos Aires,20180212,Clay,"Zeballos, Horacio",ARG,"Cecchinato, Marco",ITA,6-1 6-4,3,R32,70.0,2.0,1.0,55.0,39.0,33.0,7.0,9.0,2.0,2.0,5.0,2.0,51.0,39.0,26.0,4.0,8.0,3.0,6.0,66.0,768.0,102.0,543.0,2.0
2018-0414,Hamburg,20180723,Clay,"Monfils, Gael",FRA,"Cecchinato, Marco",ITA,6-4 3-6 6-4,3,R32,100.0,0.0,0.0,81.0,77.0,51.0,3.0,14.0,2.0,4.0,1.0,1.0,75.0,49.0,39.0,14.0,15.0,2.0,5.0,37.0,1160.0,22.0,1740.0,0.0
2018-6242,Winston Salem,20180820,Hard,"Struff, Jan Lennard",GER,"Cecchinato, Marco",ITA,6-3 6-4,3,R32,68.0,5.0,1.0,61.0,29.0,21.0,22.0,10.0,2.0,2.0,3.0,3.0,56.0,33.0,23.0,13.0,9.0,2.0,4.0,52.0,975.0,22.0,1734.0,4.0
2018-520,Roland Garros,20180528,Clay,"Thiem, Dominic",AUT,"Cecchinato, Marco",ITA,7-5 7-6(10) 6-1,5,SF,137.0,6.0,2.0,94.0,63.0,52.0,19.0,16.0,5.0,6.0,3.0,3.0,114.0,92.0,57.0,11.0,15.0,5.0,9.0,8.0,3355.0,72.0,806.0,3.0
2018-0308,Munich,20180430,Clay,"Fucsovics, Marton",HUN,"Cecchinato, Marco",ITA,7-6(5) 6-1,3,R16,88.0,2.0,3.0,70.0,46.0,33.0,11.0,10.0,3.0,5.0,1.0,1.0,66.0,44.0,29.0,7.0,9.0,4.0,8.0,61.0,856.0,59.0,891.0,1.0
2018-M015,Beijing,20181001,Hard,"Fucsovics, Marton",HUN,"Cecchinato, Marco",ITA,6-4 6-2,3,R16,74.0,0.0,3.0,47.0,21.0,19.0,17.0,9.0,0.0,0.0,1.0,2.0,63.0,35.0,21.0,15.0,9.0,2.0,5.0,45.0,1022.0,22.0,1735.0,0.0
2018-0891,Pune,20180101,Hard,"Herbert, Pierre Hugues",FRA,"Cecchinato, Marco",ITA,7-6(4) 6-7(6) 6-2,3,R32,144.0,11.0,7.0,118.0,76.0,57.0,19.0,16.0,9.0,11.0,5.0,4.0,109.0,72.0,48.0,18.0,16.0,2.0,6.0,81.0,652.0,109.0,543.0,5.0
2018-0352,Paris Masters,20181029,Hard,"Sousa, Joao",POR,"Cecchinato, Marco",ITA,7-5 6-3,3,R64,78.0,5.0,0.0,57.0,33.0,28.0,15.0,10.0,2.0,2.0,5.0,3.0,81.0,48.0,28.0,20.0,11.0,4.0,7.0,48.0,1017.0,20.0,1829.0,4.0
2018-0568,St. Petersburg,20180917,Hard,"Bautista Agut, Roberto",ESP,"Cecchinato, Marco",ITA,7-6(0) 6-3,3,QF,86.0,2.0,2.0,65.0,46.0,40.0,12.0,11.0,2.0,2.0,4.0,3.0,74.0,46.0,34.0,11.0,10.0,6.0,7.0,26.0,1570.0,22.0,1696.0,1.0
2018-M016,Eastbourne,20180625,Grass,"Lacko, Lukas",SVK,"Cecchinato, Marco",ITA,6-3 6-4,3,SF,58.0,9.0,0.0,47.0,33.0,29.0,11.0,10.0,0.0,0.0,7.0,0.0,54.0,39.0,29.0,5.0,9.0,3.0,5.0,94.0,612.0,31.0,1453.0,9.0
2018-M024,Cincinnati Masters,20180813,Hard,"Mannarino, Adrian",FRA,"Cecchinato, Marco",ITA,6-7(7) 6-2 7-6(7),3,R64,142.0,7.0,1.0,108.0,64.0,52.0,27.0,16.0,6.0,6.0,8.0,4.0,98.0,72.0,59.0,14.0,16.0,1.0,3.0,28.0,1410.0,22.0,1730.0,3.0
2018-M014,Moscow,20181015,Hard,"Mannarino, Adrian",FRA,"Cecchinato, Marco",ITA,6-2 6-3,3,R16,52.0,11.0,0.0,34.0,28.0,27.0,5.0,8.0,0.0,0.0,6.0,4.0,64.0,36.0,22.0,12.0,9.0,8.0,12.0,49.0,1030.0,19.0,1838.0,13.0
2018-6932,Rio De Janeiro,20180219,Clay,"Carreno Busta, Pablo",ESP,"Cecchinato, Marco",ITA,6-4 6-1,3,R32,63.0,0.0,2.0,53.0,41.0,29.0,6.0,8.0,4.0,5.0,2.0,1.0,54.0,36.0,22.0,3.0,9.0,6.0,11.0,11.0,2660.0,102.0,543.0,0.0
2018-0322,Geneva,20180521,Clay,"Seppi, Andreas",ITA,"Cecchinato, Marco",ITA,7-5 6-4,3,R32,97.0,2.0,3.0,87.0,51.0,35.0,17.0,11.0,14.0,16.0,5.0,1.0,74.0,48.0,31.0,10.0,11.0,4.0,8.0,51.0,1020.0,72.0,806.0,1.0
2018-5014,Shanghai Masters,20181008,Hard,"Djokovic, Novak",SRB,"Cecchinato, Marco",ITA,6-4 6-0,3,R16,69.0,7.0,0.0,42.0,34.0,29.0,5.0,8.0,2.0,2.0,3.0,3.0,63.0,41.0,21.0,10.0,8.0,7.0,11.0,3.0,6445.0,21.0,1768.0,6.0
2018-M009,Rome Masters,20180514,Clay,"Goffin, David",BEL,"Cecchinato, Marco",ITA,5-7 6-2 6-2,3,R32,124.0,3.0,2.0,86.0,51.0,36.0,18.0,14.0,3.0,7.0,7.0,1.0,93.0,69.0,38.0,10.0,14.0,7.0,14.0,10.0,2930.0,73.0,778.0,1.0
2018-560,Us Open,20180827,Hard,"Benneteau, Julien",FRA,"Cecchinato, Marco",ITA,2-6 7-6(5) 6-3 6-4,5,R128,200.0,24.0,9.0,154.0,80.0,61.0,37.0,20.0,14.0,17.0,23.0,8.0,128.0,77.0,58.0,24.0,20.0,5.0,8.0,60.0,891.0,21.0,1734.0,7.0
2018-7161,Quito,20180205,Clay,"Melzer, Gerald",AUT,"Cecchinato, Marco",ITA,6-4 6-2,3,R32,86.0,8.0,3.0,45.0,29.0,27.0,8.0,9.0,1.0,2.0,8.0,6.0,63.0,39.0,26.0,7.0,9.0,7.0,11.0,98.0,545.0,99.0,543.0,6.0
2018-0421,Canada Masters,20180806,Hard,"Tiafoe, Francis",USA,"Cecchinato, Marco",ITA,7-6(3) 6-1,3,R64,85.0,8.0,7.0,79.0,48.0,36.0,15.0,10.0,8.0,9.0,7.0,7.0,64.0,37.0,27.0,10.0,9.0,2.0,5.0,41.0,1065.0,21.0,1720.0,6.0
2018-0410,Monte Carlo Masters,20180416,Clay,"Raonic, Milos",CAN,"Cecchinato, Marco",ITA,7-6(5) 6-2,3,R32,85.0,16.0,2.0,55.0,33.0,27.0,16.0,10.0,0.0,1.0,3.0,2.0,75.0,56.0,35.0,9.0,10.0,5.0,8.0,22.0,1765.0,100.0,606.0,11.0
2018-0533,Sao Paulo,20180226,Clay,"Ofner, Sebastian",AUT,"Cecchinato, Marco",ITA,6-3 6-3,3,R32,64.0,10.0,1.0,48.0,33.0,29.0,9.0,9.0,0.0,0.0,2.0,2.0,58.0,32.0,22.0,12.0,9.0,3.0,6.0,143.0,377.0,103.0,543.0,9.0
2018-0328,Basel,20181022,Hard,"Laaksonen, Henri",SUI,"Cecchinato, Marco",ITA,6-4 6-2,3,R32,76.0,6.0,5.0,57.0,30.0,28.0,12.0,9.0,3.0,3.0,2.0,4.0,74.0,46.0,27.0,13.0,9.0,7.0,10.0,175.0,315.0,21.0,1838.0,5.0
2018-6116,Atlanta,20180723,Hard,"De Minaur, Alex",AUS,"Hurkacz, Hubert",POL,1-6 7-6(0) 7-6(5),3,R32,141.0,2.0,1.0,85.0,48.0,28.0,28.0,15.0,1.0,5.0,9.0,8.0,112.0,68.0,49.0,22.0,16.0,7.0,9.0,68.0,795.0,125.0,474.0,1.0
2018-5014,Shanghai Masters,20181008,Hard,"Chung, Hyeon",KOR,"Hurkacz, Hubert",POL,6-4 2-6 6-1,3,R64,99.0,4.0,2.0,70.0,45.0,29.0,12.0,12.0,5.0,9.0,7.0,1.0,77.0,53.0,27.0,13.0,13.0,2.0,8.0,26.0,1630.0,93.0,597.0,2.0
2018-7696,Next Gen Finals,20181105,Hard,"Tsitsipas, Stefanos",GRE,"Hurkacz, Hubert",POL,4-1 4-3(2) 4-1,3,RR,61.0,6.0,3.0,56.0,40.0,32.0,7.0,9.0,5.0,5.0,0.0,1.0,41.0,27.0,19.0,6.0,7.0,2.0,4.0,15.0,2095.0,85.0,658.0,6.0
2018-M-DC-2018-G2-EPA-M-SLO-POL-01,Davis Cup G2 R1: SLO vs POL,20180203,Hard,"Bedene, Aljaz",SLO,"Hurkacz, Hubert",POL,6-4 7-5,3,RR,94.0,2.0,2.0,72.0,42.0,30.0,18.0,11.0,5.0,6.0,2.0,4.0,61.0,36.0,28.0,9.0,11.0,1.0,4.0,52.0,968.0,224.0,237.0,1.0
2018-M024,Cincinnati Masters,20180813,Hard,"Fucsovics, Marton",HUN,"Hurkacz, Hubert",POL,4-6 6-3 7-6(6),3,R64,152.0,1.0,3.0,91.0,51.0,35.0,27.0,15.0,3.0,5.0,10.0,3.0,106.0,58.0,44.0,25.0,16.0,3.0,6.0,48.0,1007.0,114.0,488.0,0.0
2018-520,Roland Garros,20180528,Clay,"Cilic, Marin",CRO,"Hurkacz, Hubert",POL,6-2 6-2 6-7(3) 7-5,5,R64,170.0,9.0,4.0,126.0,72.0,55.0,31.0,20.0,6.0,7.0,10.0,5.0,139.0,85.0,58.0,25.0,20.0,20.0,26.0,4.0,4950.0,188.0,315.0,3.0
2018-560,Us Open,20180827,Hard,"Cilic, Marin",CRO,"Hurkacz, Hubert",POL,6-2 6-0 6-0,5,R64,79.0,13.0,1.0,57.0,38.0,31.0,11.0,10.0,2.0,2.0,3.0,6.0,70.0,35.0,15.0,14.0,10.0,6.0,14.0,7.0,4445.0,109.0,515.0,10.0
2018-7648,Budapest,20180423,Clay,"Sonego, Lorenzo",ITA,"Hurkacz, Hubert",POL,6-7(2) 7-6(8) 6-4,3,R32,156.0,9.0,4.0,101.0,69.0,51.0,21.0,17.0,1.0,3.0,3.0,2.0,118.0,75.0,50.0,29.0,17.0,7.0,10.0,159.0,352.0,182.0,309.0,3.0
2018-M035,Washington,20180730,Hard,"Tiafoe, Francis",USA,"Hurkacz, Hubert",POL,6-2 6-4,3,R32,74.0,10.0,1.0,49.0,34.0,25.0,10.0,9.0,4.0,5.0,8.0,3.0,65.0,34.0,21.0,13.0,9.0,7.0,11.0,41.0,1040.0,120.0,474.0,8.0
2018-7696,Next Gen Finals,20181105,Hard,"Tiafoe, Francis",USA,"Hurkacz, Hubert",POL,4-1 4-2 2-4 4-3(10),3,RR,82.0,11.0,1.0,78.0,53.0,39.0,17.0,12.0,6.0,7.0,9.0,4.0,67.0,48.0,35.0,10.0,11.0,5.0,7.0,40.0,1080.0,85.0,658.0,8.0
2018-540,Wimbledon,20180702,Grass,"Tomic, Bernard",AUS,"Hurkacz, Hubert",POL,6-4 6-2 7-6(2),5,R128,109.0,12.0,3.0,94.0,63.0,48.0,22.0,15.0,4.0,4.0,9.0,4.0,113.0,66.0,46.0,20.0,16.0,9.0,12.0,184.0,308.0,122.0,454.0,7.0
2018-M035,Washington,20180730,Hard,"De Minaur, Alex",AUS,"Pospisil, Vasek",CAN,6-7(6) 6-2 6-3,3,R64,143.0,4.0,3.0,93.0,59.0,42.0,22.0,15.0,1.0,2.0,11.0,4.0,99.0,53.0,40.0,18.0,14.0,7.0,11.0,72.0,803.0,92.0,619.0,2.0
2018-5014,Shanghai Masters,20181008,Hard,"De Minaur, Alex",AUS,"Pospisil, Vasek",CAN,6-4 7-6(4),3,R64,111.0,4.0,0.0,80.0,50.0,37.0,19.0,11.0,5.0,5.0,8.0,1.0,75.0,47.0,35.0,15.0,11.0,1.0,2.0,33.0,1238.0,82.0,691.0,2.0
2018-M-DC-2018-WG-M-CAN-CRO-01,Davis Cup WG R1: CAN vs CRO,20180202,Clay,"Coric, Borna",CRO,"Pospisil, Vasek",CAN,3-6 6-2 6-3 6-2,5,RR,140.0,7.0,2.0,87.0,65.0,54.0,13.0,17.0,1.0,2.0,10.0,3.0,101.0,62.0,46.0,15.0,17.0,3.0,8.0,47.0,1036.0,85.0,648.0,3.0
2018-0421,Canada Masters,20180806,Hard,"Coric, Borna",CRO,"Pospisil, Vasek",CAN,6-4 6-3,3,R64,79.0,6.0,1.0,46.0,24.0,22.0,14.0,9.0,0.0,0.0,5.0,2.0,62.0,35.0,23.0,13.0,10.0,7.0,10.0,20.0,1745.0,94.0,619.0,5.0
2018-7485,Antwerp,20181015,Hard,"Monfils, Gael",FRA,"Pospisil, Vasek",CAN,7-5 6-4,3,QF,95.0,10.0,1.0,65.0,41.0,32.0,14.0,11.0,2.0,2.0,10.0,3.0,73.0,45.0,31.0,15.0,11.0,6.0,8.0,38.0,1160.0,79.0,706.0,6.0
2018-540,Wimbledon,20180702,Grass,"Kukushkin, Mikhail",KAZ,"Pospisil, Vasek",CAN,6-4 3-6 6-2 6-3,5,R128,129.0,3.0,0.0,98.0,73.0,58.0,17.0,18.0,4.0,5.0,12.0,7.0,112.0,69.0,47.0,20.0,18.0,5.0,9.0,77.0,734.0,97.0,594.0,1.0
2018-520,Roland Garros,20180528,Clay,"Fucsovics, Marton",HUN,"Pospisil, Vasek",CAN,6-3 6-3 7-6(5),5,R128,131.0,4.0,4.0,96.0,56.0,42.0,22.0,15.0,1.0,3.0,5.0,7.0,106.0,66.0,49.0,11.0,15.0,5.0,10.0,45.0,1122.0,88.0,673.0,2.0
2018-0315,Newport,20180716,Grass,"Ramanathan, Ramkumar",IND,"Pospisil, Vasek",CAN,7-5 6-2,3,QF,78.0,5.0,6.0,62.0,32.0,25.0,18.0,10.0,2.0,2.0,2.0,7.0,65.0,32.0,22.0,15.0,10.0,2.0,5.0,161.0,349.0,98.0,594.0,4.0
2018-580,Australian Open,20180115,Hard,"Cilic, Marin",CRO,"Pospisil, Vasek",CAN,6-2 6-2 4-6 7-6(5),5,R128,197.0,20.0,3.0,118.0,71.0,55.0,26.0,19.0,3.0,5.0,12.0,6.0,153.0,80.0,59.0,30.0,19.0,13.0,18.0,6.0,3805.0,105.0,541.0,6.0
2018-M007,Miami Masters,20180319,Hard,"Cilic, Marin",CRO,"Pospisil, Vasek",CAN,7-5 7-6(4),3,R32,114.0,6.0,3.0,74.0,41.0,35.0,20.0,12.0,3.0,3.0,5.0,6.0,95.0,54.0,40.0,21.0,12.0,9.0,10.0,3.0,4905.0,77.0,687.0,3.0
2018-7581,Chengdu,20180924,Hard,"Sousa, Joao",POR,"Pospisil, Vasek",CAN,6-7(4) 6-4 7-6(0),3,R16,170.0,2.0,3.0,114.0,73.0,60.0,19.0,17.0,3.0,4.0,17.0,6.0,132.0,86.0,60.0,22.0,17.0,9.0,11.0,50.0,966.0,86.0,677.0,1.0
2018-560,Us Open,20180827,Hard,"Nadal, Rafael",ESP,"Pospisil, Vasek",CAN,6-3 6-4 6-2,5,R64,120.0,5.0,2.0,75.0,55.0,46.0,10.0,14.0,4.0,5.0,12.0,3.0,70.0,38.0,23.0,16.0,13.0,2.0,7.0,1.0,10040.0,88.0,642.0,2.0
2018-M015,Beijing,20181001,Hard,"Lajovic, Dusan",SRB,"Pospisil, Vasek",CAN,2-6 6-4 6-4,3,R32,126.0,0.0,1.0,74.0,54.0,36.0,14.0,14.0,0.0,3.0,8.0,5.0,102.0,61.0,43.0,19.0,14.0,9.0,12.0,55.0,920.0,83.0,687.0,0.0
2018-M006,Indian Wells Masters,20180305,Hard,"Auger Aliassime, Felix",CAN,"Pospisil, Vasek",CAN,6-2 7-6(4),3,R128,99.0,11.0,2.0,64.0,35.0,27.0,20.0,10.0,3.0,3.0,2.0,2.0,67.0,31.0,20.0,22.0,10.0,2.0,4.0,169.0,327.0,75.0,708.0,7.0
2018-M010,S-Hertogenbosch,20180611,Grass,"Bolt, Alex",AUS,"Pospisil, Vasek",CAN,4-6 7-6(5) 6-2,3,R32,123.0,11.0,3.0,100.0,66.0,52.0,16.0,15.0,4.0,6.0,8.0,7.0,110.0,68.0,46.0,22.0,15.0,4.0,7.0,176.0,324.0,88.0,667.0,5.0
2018-M016,Eastbourne,20180625,Grass,"Edmund, Kyle",GBR,"Murray, Andy",GBR,6-4 6-4,3,R16,100.0,8.0,4.0,56.0,34.0,28.0,11.0,10.0,4.0,5.0,5.0,3.0,80.0,51.0,31.0,16.0,10.0,6.0,9.0,18.0,1950.0,156.0,360.0,5.0
2018-0311,London,20180618,Grass,"Kyrgios, Nick",AUS,"Murray, Andy",GBR,2-6 7-6(4) 7-5,3,R32,159.0,18.0,11.0,110.0,66.0,55.0,14.0,16.0,7.0,11.0,16.0,8.0,119.0,67.0,51.0,21.0,16.0,8.0,11.0,21.0,1675.0,156.0,360.0,7.0
2018-560,Us Open,20180827,Hard,"Verdasco, Fernando",ESP,"Murray, Andy",GBR,7-5 2-6 6-4 6-4,5,R64,203.0,9.0,9.0,133.0,84.0,55.0,22.0,20.0,9.0,15.0,5.0,6.0,112.0,62.0,43.0,21.0,20.0,3.0,10.0,32.0,1330.0,382.0,110.0,3.0
2018-6967,Shenzhen,20180924,Hard,"Verdasco, Fernando",ESP,"Murray, Andy",GBR,6-4 6-4,3,QF,99.0,11.0,4.0,57.0,32.0,27.0,14.0,10.0,5.0,6.0,5.0,1.0,68.0,40.0,29.0,11.0,10.0,4.0,7.0,28.0,1375.0,311.0,155.0,7.0
2018-M024,Cincinnati Masters,20180813,Hard,"Pouille, Lucas",FRA,"Murray, Andy",GBR,6-1 1-6 6-4,3,R64,113.0,6.0,5.0,83.0,48.0,34.0,16.0,12.0,6.0,9.0,7.0,8.0,85.0,51.0,38.0,11.0,12.0,7.0,11.0,17.0,1870.0,375.0,110.0,3.0
2018-M035,Washington,20180730,Hard,"De Minaur, Alex",AUS,"Rublev, Andrey",RUS,5-7 7-6(6) 6-4,3,SF,172.0,12.0,4.0,115.0,67.0,49.0,22.0,17.0,6.0,9.0,8.0,5.0,126.0,80.0,61.0,17.0,17.0,11.0,14.0,72.0,803.0,46.0,1000.0,4.0
2018-7696,Next Gen Finals,20181105,Hard,"De Minaur, Alex",AUS,"Rublev, Andrey",RUS,4-1 3-4(5) 4-1 4-2,3,RR,84.0,10.0,3.0,72.0,47.0,38.0,10.0,12.0,4.0,5.0,3.0,6.0,60.0,38.0,26.0,5.0,10.0,8.0,12.0,31.0,1298.0,68.0,760.0,7.0
2018-M014,Moscow,20181015,Hard,"Kyrgios, Nick",AUS,"Rublev, Andrey",RUS,6-3 4-6 6-4,3,R32,87.0,25.0,5.0,85.0,64.0,51.0,8.0,15.0,6.0,8.0,12.0,6.0,96.0,47.0,37.0,22.0,14.0,6.0,9.0,37.0,1170.0,78.0,715.0,17.0
2018-580,Australian Open,20180115,Hard,"Dimitrov, Grigor",BUL,"Rublev, Andrey",RUS,6-3 4-6 6-4 6-4,5,R32,184.0,13.0,15.0,142.0,89.0,68.0,20.0,20.0,11.0,15.0,4.0,13.0,136.0,84.0,56.0,23.0,19.0,13.0,19.0,3.0,4990.0,32.0,1373.0,4.0
2018-0407,Rotterdam,20180212,Hard,"Dimitrov, Grigor",BUL,"Rublev, Andrey",RUS,6-3 6-4,3,QF,76.0,12.0,2.0,66.0,45.0,37.0,10.0,10.0,2.0,2.0,3.0,0.0,54.0,37.0,26.0,8.0,9.0,1.0,3.0,5.0,4425.0,34.0,1355.0,9.0
2018-0314,Gstaad,20180723,Clay,"Berrettini, Matteo",ITA,"Rublev, Andrey",RUS,6-3 6-3,3,R16,61.0,6.0,0.0,60.0,42.0,31.0,10.0,9.0,2.0,2.0,2.0,0.0,44.0,31.0,22.0,6.0,9.0,0.0,3.0,84.0,687.0,46.0,1000.0,6.0
