tourney_id,tourney_name,tourney_date,surface,winner,country_winner,loser,country_loser,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,aces
2018-540,Wimbledon,20180702,Grass,"Djokovic, Novak",SRB,"Nadal, Rafael",ESP,6-4 3-6 7-6(9) 3-6 10-8,5,SF,315.0,23.0,4.0,176.0,125.0,95.0,24.0,29.0,7.0,11.0,9.0,4.0,210.0,150.0,100.0,34.0,30.0,15.0,19.0,21.0,1715.0,1.0,8770.0,4.0
2018-520,Roland Garros,20180528,Clay,"Thiem, Dominic",AUT,"Nishikori, Kei",JPN,6-2 6-0 5-7 6-4,5,R16,148.0,9.0,7.0,95.0,65.0,55.0,17.0,18.0,0.0,1.0,1.0,1.0,102.0,63.0,46.0,16.0,18.0,5.0,11.0,8.0,3355.0,21.0,1710.0,4.0
2018-0605,Tour Finals,20181112,Hard,"Thiem, Dominic",AUT,"Nishikori, Kei",JPN,6-1 6-4,3,RR,84.0,3.0,2.0,66.0,47.0,31.0,12.0,9.0,4.0,4.0,0.0,6.0,63.0,37.0,26.0,9.0,8.0,6.0,9.0,8.0,3895.0,9.0,3390.0,2.0
2018-0421,Canada Masters,20180806,Hard,"Haase, Robin",NED,"Nishikori, Kei",JPN,7-5 6-1,3,R64,76.0,11.0,2.0,68.0,40.0,28.0,16.0,9.0,4.0,5.0,3.0,4.0,50.0,32.0,20.0,8.0,10.0,3.0,8.0,39.0,1110.0,22.0,1710.0,9.0
2018-0424,New York,20180212,Hard,"Anderson, Kevin",RSA,"Nishikori, Kei",JPN,6-1 3-6 7-6(4),3,SF,131.0,23.0,0.0,84.0,66.0,52.0,9.0,14.0,3.0,4.0,5.0,3.0,89.0,53.0,37.0,22.0,14.0,4.0,6.0,11.0,2620.0,27.0,1655.0,11.0
2018-0337,Vienna,20181022,Hard,"Anderson, Kevin",RSA,"Nishikori, Kei",JPN,6-3 7-6(3),3,F,115.0,13.0,1.0,74.0,43.0,39.0,15.0,11.0,2.0,2.0,2.0,3.0,78.0,47.0,32.0,20.0,10.0,6.0,7.0,8.0,3730.0,11.0,2910.0,7.0
2018-0605,Tour Finals,20181112,Hard,"Anderson, Kevin",RSA,"Nishikori, Kei",JPN,6-0 6-1,3,RR,64.0,10.0,0.0,36.0,28.0,23.0,5.0,7.0,0.0,0.0,2.0,2.0,49.0,22.0,11.0,10.0,6.0,7.0,12.0,6.0,4310.0,9.0,3390.0,9.0
2018-M004,Acapulco,20180226,Hard,"Shapovalov, Denis",CAN,"Nishikori, Kei",JPN,6-7(3) 6-3 6-1,3,R32,137.0,11.0,11.0,102.0,46.0,36.0,31.0,14.0,9.0,10.0,0.0,4.0,92.0,46.0,31.0,23.0,14.0,4.0,9.0,45.0,1121.0,26.0,1595.0,5.0
2018-0500,Halle,20180618,Grass,"Khachanov, Karen",RUS,"Nishikori, Kei",JPN,6-2 6-2,3,R16,77.0,7.0,0.0,50.0,32.0,23.0,11.0,8.0,1.0,1.0,1.0,1.0,64.0,34.0,20.0,14.0,8.0,7.0,11.0,36.0,1220.0,27.0,1530.0,5.0
2018-M007,Miami Masters,20180319,Hard,"Del Potro, Juan Martin",ARG,"Nishikori, Kei",JPN,6-2 6-2,3,R32,72.0,6.0,1.0,43.0,30.0,23.0,10.0,8.0,1.0,1.0,2.0,1.0,58.0,36.0,20.0,10.0,8.0,9.0,13.0,6.0,4155.0,33.0,1415.0,5.0
2018-0329,Tokyo,20181001,Hard,"Medvedev, Daniil",RUS,"Nishikori, Kei",JPN,6-2 6-4,3,F,63.0,8.0,1.0,43.0,27.0,25.0,13.0,9.0,1.0,1.0,4.0,3.0,49.0,32.0,23.0,5.0,9.0,2.0,5.0,32.0,1287.0,12.0,2520.0,8.0
2018-0410,Monte Carlo Masters,20180416,Clay,"Nadal, Rafael",ESP,"Nishikori, Kei",JPN,6-3 6-2,3,F,93.0,1.0,3.0,54.0,38.0,28.0,9.0,9.0,1.0,2.0,1.0,2.0,54.0,28.0,15.0,13.0,8.0,4.0,8.0,1.0,8770.0,36.0,1280.0,1.0
2018-M024,Cincinnati Masters,20180813,Hard,"Wawrinka, Stanislas",SUI,"Nishikori, Kei",JPN,6-4 6-4,3,R32,89.0,8.0,2.0,52.0,31.0,25.0,13.0,10.0,0.0,1.0,1.0,2.0,67.0,42.0,27.0,12.0,10.0,7.0,10.0,151.0,380.0,23.0,1710.0,5.0
